f1,f2,f3,f4,target
0.8336709103932218,0.623492516365043,0.4088108848178552,0.3088171026646288,0.5671314177993197
0.33192133613333796,0.046440581795115676,0.7890881957197459,0.13742349494779693,0.6432844375388502
0.22167437293433356,0.788921443021138,0.5380355248954337,0.5530346539858455,0.40553071439130906
0.535761354171591,0.7730976858636952,0.10513610852848099,0.10236569501998993,0.6289855365860719
0.8067575625967226,0.6046100076159778,0.5757684745016841,0.8845206290310303,0.5158439053772104
0.40932380323418505,0.6243341948884439,0.06922444342181067,0.9866258690340426,0.19658422904014106
0.6385058501279124,0.3981398042490283,0.4573163016660172,0.004669608652697277,0.9646108266526768
0.1782745059526546,0.20727187340183006,0.12691792540223312,0.8438761917782918,0.8693725126825507
0.2694456942777218,0.560154157843524,0.5931433977581255,0.6061256852234096,0.2954181016752283
0.267656687486871,0.8952855151607209,0.5307174566508169,0.7203392594687867,0.5939380000211822
0.6587631043599205,0.7800171172406694,0.1849006304646469,0.6820828445311078,0.7265421024349705
0.6565004198243581,0.7653747490328309,0.9414722813274004,0.44422687452302234,0.7232458402708419
0.6444856801383809,0.9581781811790019,0.014678992730368212,0.6346559645902091,0.6587866179895583
0.2184549758128448,0.4536108775775529,0.6428803443693365,0.3910972875077523,0.5539280980018672
0.31608038787559045,0.13527124012566405,0.006649209760762442,0.8700730176052469,0.8087717657767345
0.5318100592774133,0.9934020907734121,0.5602631849645483,0.18801840678180948,0.2744330576683539
0.011669545718866359,0.5935787443339523,0.7199146861316238,0.9514919215873668,0.2985566504095334
0.90409886824578,0.5292172628895057,0.8966792072679715,0.10380080217414622,0.418089946132296
0.159013465327964,0.8854939832584084,0.29491424643867603,0.2871950719302899,0.5722211410004029
0.6386519329392469,0.5562978446566864,0.396517225581412,0.4455770573759238,0.05301821044004751
0.9875783043528024,0.41664711604920324,0.6521438944955954,0.7221236342824662,0.5781121748128986
0.616200309846412,0.3777344990498801,0.36912725550769654,0.22771824740290014,0.9398730144421495
0.599191395813144,0.960344229651449,0.8891670563370018,0.5508754085793233,0.7990648266143482
0.2983190442112085,0.674014439087359,0.21781122620673243,0.4054418837726993,0.4702452050071092
